school_id,level,subject,tested,proficiency
400009,ES,reading,305,20.3
400011,ES,reading,209,41.6
400017,ES,reading,99,22.2
400021,ES,reading,345,38.3
400023,ES,reading,271,34.7
400024,ES,reading,319,27.6
400025,ES,reading,378,22.2
400027,ES,reading,330,35.5
400028,ES,reading,251,16.7
400029,ES,reading,302,22.8
400030,ES,reading,358,26.3
400031,ES,reading,423,20.3
400033,ES,reading,710,14.2
400035,ES,reading,202,33.7
400039,ES,reading,268,11.9
400044,ES,reading,569,16.9
400046,ES,reading,287,31.4
400047,ES,reading,166,29.5
400048,ES,reading,215,40.9
400049,ES,reading,294,24.8
400050,ES,reading,271,24
400052,ES,reading,264,39.4
400060,ES,reading,214,15.9
400061,ES,reading,157,19.7
400064,ES,reading,51,13.7
400066,ES,reading,35,34.3
400068,ES,reading,116,3.4
400069,ES,reading,168,13.7
400071,ES,reading,284,25
400075,ES,reading,240,24.2
400076,ES,reading,149,28.2
400077,ES,reading,250,20.8
400079,ES,reading,368,23.9
400080,ES,reading,390,20.3
400081,ES,reading,161,19.9
400082,ES,reading,284,14.1
400083,ES,reading,99,13.1
400084,ES,reading,177,46.3
400089,ES,reading,345,19.4
400092,ES,reading,139,7.9
400096,ES,reading,504,13.3
400101,ES,reading,265,16.6
400107,ES,reading,245,31.8
400111,ES,reading,268,36.2
400112,ES,reading,358,24.6
400114,ES,reading,165,25.5
400115,ES,reading,353,29.7
400116,ES,reading,210,11
400120,ES,reading,337,15.1
400121,ES,reading,246,15
400146,ES,reading,435,17
400151,ES,reading,75,22.7
400153,ES,reading,325,23.1
400159,ES,reading,287,19.5
400161,ES,reading,85,20
400162,ES,reading,274,28.5
400163,ES,reading,564,18.8
400165,ES,reading,181,27.1
400167,ES,reading,362,29.3
400168,ES,reading,351,41
400178,ES,reading,495,14.9
400180,ES,reading,621,20.5
400181,ES,reading,49,18.4
609716,ES,reading,124,3.2
609720,ES,reading,165,93.3
609725,ES,reading,55,54.5
609726,ES,reading,121,73.6
609734,ES,reading,162,81.5
609746,ES,reading,279,67.7
609755,ES,reading,270,96.7
609772,ES,reading,322,34.5
609773,ES,reading,195,36.9
609774,ES,reading,304,71.1
609777,ES,reading,149,43
609779,ES,reading,811,42.8
609780,ES,reading,132,8.3
609782,ES,reading,276,76.1
609783,ES,reading,15,0
609786,ES,reading,132,28.8
609788,ES,reading,160,24.4
609789,ES,reading,248,13.3
609790,ES,reading,226,11.1
609791,ES,reading,174,13.2
609792,ES,reading,555,28.3
609793,ES,reading,272,11.4
609794,ES,reading,179,96.6
609795,ES,reading,91,22
609796,ES,reading,644,60.2
609797,ES,reading,164,11
609798,ES,reading,334,44.6
609799,ES,reading,549,76.7
609800,ES,reading,163,20.9
609803,ES,reading,356,70.2
609804,ES,reading,464,30.6
609805,ES,reading,186,19.9
609806,ES,reading,240,7.9
609807,ES,reading,259,15.4
609808,ES,reading,252,23.8
609809,ES,reading,419,38.4
609810,ES,reading,658,39.4
609811,ES,reading,113,10.6
609812,ES,reading,142,14.8
609813,ES,reading,66,18.2
609815,ES,reading,321,15
609817,ES,reading,386,44
609818,ES,reading,442,15.4
609819,ES,reading,152,5.3
609820,ES,reading,317,73.5
609821,ES,reading,259,14.7
609827,ES,reading,167,37.7
609828,ES,reading,310,69.4
609829,ES,reading,217,46.1
609830,ES,reading,211,17.1
609832,ES,reading,409,36.4
609833,ES,reading,131,22.9
609834,ES,reading,418,16.7
609835,ES,reading,442,11.8
609836,ES,reading,503,48.9
609837,ES,reading,283,36
609839,ES,reading,232,31.5
609842,ES,reading,523,34
609844,ES,reading,170,7.1
609845,ES,reading,284,8.8
609848,ES,reading,148,23
609849,ES,reading,237,58.2
609850,ES,reading,237,31.6
609851,ES,reading,143,17.5
609852,ES,reading,322,52.5
609853,ES,reading,181,34.8
609854,ES,reading,178,13.5
609855,ES,reading,141,7.8
609856,ES,reading,363,26.4
609857,ES,reading,249,26.5
609859,ES,reading,676,26.2
609861,ES,reading,245,25.3
609862,ES,reading,150,15.3
609863,ES,reading,186,25.3
609864,ES,reading,178,16.9
609865,ES,reading,281,9.6
609866,ES,reading,531,70.6
609867,ES,reading,301,15.6
609869,ES,reading,116,12.9
609870,ES,reading,263,8.7
609872,ES,reading,193,18.7
609873,ES,reading,84,8.3
609874,ES,reading,691,34.6
609875,ES,reading,273,34.8
609876,ES,reading,302,7.3
609879,ES,reading,575,23.1
609880,ES,reading,219,90.4
609883,ES,reading,285,30.2
609884,ES,reading,448,31.3
609885,ES,reading,149,26.2
609887,ES,reading,358,41.9
609891,ES,reading,138,7.2
609893,ES,reading,421,34.2
609894,ES,reading,191,18.3
609895,ES,reading,120,30.8
609896,ES,reading,162,43.2
609897,ES,reading,160,10.6
609898,ES,reading,680,13.7
609899,ES,reading,468,61.8
609900,ES,reading,223,2.7
609901,ES,reading,281,62.6
609902,ES,reading,197,12.7
609903,ES,reading,748,20.2
609904,ES,reading,275,10.2
609907,ES,reading,190,28.4
609908,ES,reading,153,22.9
609909,ES,reading,32,65.6
609910,ES,reading,484,25.6
609912,ES,reading,283,30.4
609917,ES,reading,166,33.7
609918,ES,reading,140,12.1
609919,ES,reading,214,15.4
609920,ES,reading,266,12
609921,ES,reading,147,18.4
609922,ES,reading,238,14.7
609924,ES,reading,181,18.2
609925,ES,reading,117,10.3
609926,ES,reading,266,54.5
609927,ES,reading,149,18.8
609928,ES,reading,213,24.9
609929,ES,reading,206,13.6
609930,ES,reading,228,18.9
609933,ES,reading,158,9.5
609935,ES,reading,397,24.9
609937,ES,reading,504,40.1
609938,ES,reading,681,26
609939,ES,reading,187,14.4
609941,ES,reading,197,15.7
609942,ES,reading,429,37.1
609943,ES,reading,197,29.9
609944,ES,reading,194,56.2
609945,ES,reading,350,29.4
609947,ES,reading,216,9.3
609949,ES,reading,656,29.3
609951,ES,reading,196,15.8
609952,ES,reading,140,28.6
609954,ES,reading,160,23.8
609955,ES,reading,207,21.3
609956,ES,reading,249,32.5
609958,ES,reading,428,20.6
609959,ES,reading,339,52.5
609960,ES,reading,551,32.3
609961,ES,reading,184,14.7
609963,ES,reading,297,65.7
609964,ES,reading,335,5.4
609966,ES,reading,165,11.5
609967,ES,reading,147,19
609968,ES,reading,359,16.4
609969,ES,reading,192,30.2
609971,ES,reading,180,12.2
609972,ES,reading,590,15.6
609973,ES,reading,347,28.2
609974,ES,reading,411,91.7
609975,ES,reading,161,18.6
