"school_id","year","level","assessment","subject","tested","proficiency"
"400009",2024,"ES","IAR/PARCC","reading",305,20.3
"400011",2024,"ES","IAR/PARCC","reading",209,41.6
"400017",2024,"ES","IAR/PARCC","reading",99,22.2
"400021",2024,"ES","IAR/PARCC","reading",345,38.3
"400023",2024,"ES","IAR/PARCC","reading",271,34.7
"400024",2024,"ES","IAR/PARCC","reading",319,27.6
"400025",2024,"ES","IAR/PARCC","reading",378,22.2
"400027",2024,"ES","IAR/PARCC","reading",330,35.5
"400028",2024,"ES","IAR/PARCC","reading",251,16.7
"400029",2024,"ES","IAR/PARCC","reading",302,22.8
"400030",2024,"ES","IAR/PARCC","reading",358,26.3
"400031",2024,"ES","IAR/PARCC","reading",423,20.3
"400033",2024,"ES","IAR/PARCC","reading",710,14.2
"400035",2024,"ES","IAR/PARCC","reading",202,33.7
"400039",2024,"ES","IAR/PARCC","reading",268,11.9
"400044",2024,"ES","IAR/PARCC","reading",569,16.9
"400046",2024,"ES","IAR/PARCC","reading",287,31.4
"400047",2024,"ES","IAR/PARCC","reading",166,29.5
"400048",2024,"ES","IAR/PARCC","reading",215,40.9
"400049",2024,"ES","IAR/PARCC","reading",294,24.8
"400050",2024,"ES","IAR/PARCC","reading",271,24
"400052",2024,"ES","IAR/PARCC","reading",264,39.4
"400060",2024,"ES","IAR/PARCC","reading",214,15.9
"400061",2024,"ES","IAR/PARCC","reading",157,19.7
"400064",2024,"ES","IAR/PARCC","reading",51,13.7
"400066",2024,"ES","IAR/PARCC","reading",35,34.3
"400068",2024,"ES","IAR/PARCC","reading",116,3.4
"400069",2024,"ES","IAR/PARCC","reading",168,13.7
"400071",2024,"ES","IAR/PARCC","reading",284,25
"400075",2024,"ES","IAR/PARCC","reading",240,24.2
"400076",2024,"ES","IAR/PARCC","reading",149,28.2
"400077",2024,"ES","IAR/PARCC","reading",250,20.8
"400079",2024,"ES","IAR/PARCC","reading",368,23.9
"400080",2024,"ES","IAR/PARCC","reading",390,20.3
"400081",2024,"ES","IAR/PARCC","reading",161,19.9
"400082",2024,"ES","IAR/PARCC","reading",284,14.1
"400083",2024,"ES","IAR/PARCC","reading",99,13.1
"400084",2024,"ES","IAR/PARCC","reading",177,46.3
"400089",2024,"ES","IAR/PARCC","reading",345,19.4
"400092",2024,"ES","IAR/PARCC","reading",139,7.9
"400096",2024,"ES","IAR/PARCC","reading",504,13.3
"400101",2024,"ES","IAR/PARCC","reading",265,16.6
"400107",2024,"ES","IAR/PARCC","reading",245,31.8
"400111",2024,"ES","IAR/PARCC","reading",268,36.2
"400112",2024,"ES","IAR/PARCC","reading",358,24.6
"400114",2024,"ES","IAR/PARCC","reading",165,25.5
"400115",2024,"ES","IAR/PARCC","reading",353,29.7
"400116",2024,"ES","IAR/PARCC","reading",210,11
"400120",2024,"ES","IAR/PARCC","reading",337,15.1
"400121",2024,"ES","IAR/PARCC","reading",246,15
"400146",2024,"ES","IAR/PARCC","reading",435,17
"400151",2024,"ES","IAR/PARCC","reading",75,22.7
"400153",2024,"ES","IAR/PARCC","reading",325,23.1
"400159",2024,"ES","IAR/PARCC","reading",287,19.5
"400161",2024,"ES","IAR/PARCC","reading",85,20
"400162",2024,"ES","IAR/PARCC","reading",274,28.5
"400163",2024,"ES","IAR/PARCC","reading",564,18.8
"400165",2024,"ES","IAR/PARCC","reading",181,27.1
"400167",2024,"ES","IAR/PARCC","reading",362,29.3
"400168",2024,"ES","IAR/PARCC","reading",351,41
"400178",2024,"ES","IAR/PARCC","reading",495,14.9
"400180",2024,"ES","IAR/PARCC","reading",621,20.5
"400181",2024,"ES","IAR/PARCC","reading",49,18.4
"609716",2024,"ES","IAR/PARCC","reading",124,3.2
"609720",2024,"ES","IAR/PARCC","reading",165,93.3
"609725",2024,"ES","IAR/PARCC","reading",55,54.5
"609726",2024,"ES","IAR/PARCC","reading",121,73.6
"609734",2024,"ES","IAR/PARCC","reading",162,81.5
"609746",2024,"ES","IAR/PARCC","reading",279,67.7
"609755",2024,"ES","IAR/PARCC","reading",270,96.7
"609772",2024,"ES","IAR/PARCC","reading",322,34.5
"609773",2024,"ES","IAR/PARCC","reading",195,36.9
"609774",2024,"ES","IAR/PARCC","reading",304,71.1
"609777",2024,"ES","IAR/PARCC","reading",149,43
"609779",2024,"ES","IAR/PARCC","reading",811,42.8
"609780",2024,"ES","IAR/PARCC","reading",132,8.3
"609782",2024,"ES","IAR/PARCC","reading",276,76.1
"609783",2024,"ES","IAR/PARCC","reading",15,0
"609786",2024,"ES","IAR/PARCC","reading",132,28.8
"609788",2024,"ES","IAR/PARCC","reading",160,24.4
"609789",2024,"ES","IAR/PARCC","reading",248,13.3
"609790",2024,"ES","IAR/PARCC","reading",226,11.1
"609791",2024,"ES","IAR/PARCC","reading",174,13.2
"609792",2024,"ES","IAR/PARCC","reading",555,28.3
"609793",2024,"ES","IAR/PARCC","reading",272,11.4
"609794",2024,"ES","IAR/PARCC","reading",179,96.6
"609795",2024,"ES","IAR/PARCC","reading",91,22
"609796",2024,"ES","IAR/PARCC","reading",644,60.2
"609797",2024,"ES","IAR/PARCC","reading",164,11
"609798",2024,"ES","IAR/PARCC","reading",334,44.6
"609799",2024,"ES","IAR/PARCC","reading",549,76.7
"609800",2024,"ES","IAR/PARCC","reading",163,20.9
"609803",2024,"ES","IAR/PARCC","reading",356,70.2
"609804",2024,"ES","IAR/PARCC","reading",464,30.6
"609805",2024,"ES","IAR/PARCC","reading",186,19.9
"609806",2024,"ES","IAR/PARCC","reading",240,7.9
"609807",2024,"ES","IAR/PARCC","reading",259,15.4
"609808",2024,"ES","IAR/PARCC","reading",252,23.8
"609809",2024,"ES","IAR/PARCC","reading",419,38.4
"609810",2024,"ES","IAR/PARCC","reading",658,39.4
"609811",2024,"ES","IAR/PARCC","reading",113,10.6
"609812",2024,"ES","IAR/PARCC","reading",142,14.8
"609813",2024,"ES","IAR/PARCC","reading",66,18.2
"609815",2024,"ES","IAR/PARCC","reading",321,15
"609817",2024,"ES","IAR/PARCC","reading",386,44
"609818",2024,"ES","IAR/PARCC","reading",442,15.4
"609819",2024,"ES","IAR/PARCC","reading",152,5.3
"609820",2024,"ES","IAR/PARCC","reading",317,73.5
"609821",2024,"ES","IAR/PARCC","reading",259,14.7
"609827",2024,"ES","IAR/PARCC","reading",167,37.7
"609828",2024,"ES","IAR/PARCC","reading",310,69.4
"609829",2024,"ES","IAR/PARCC","reading",217,46.1
"609830",2024,"ES","IAR/PARCC","reading",211,17.1
"609832",2024,"ES","IAR/PARCC","reading",409,36.4
"609833",2024,"ES","IAR/PARCC","reading",131,22.9
"609834",2024,"ES","IAR/PARCC","reading",418,16.7
"609835",2024,"ES","IAR/PARCC","reading",442,11.8
"609836",2024,"ES","IAR/PARCC","reading",503,48.9
"609837",2024,"ES","IAR/PARCC","reading",283,36
"609839",2024,"ES","IAR/PARCC","reading",232,31.5
"609842",2024,"ES","IAR/PARCC","reading",523,34
"609844",2024,"ES","IAR/PARCC","reading",170,7.1
"609845",2024,"ES","IAR/PARCC","reading",284,8.8
"609848",2024,"ES","IAR/PARCC","reading",148,23
"609849",2024,"ES","IAR/PARCC","reading",237,58.2
"609850",2024,"ES","IAR/PARCC","reading",237,31.6
"609851",2024,"ES","IAR/PARCC","reading",143,17.5
"609852",2024,"ES","IAR/PARCC","reading",322,52.5
"609853",2024,"ES","IAR/PARCC","reading",181,34.8
"609854",2024,"ES","IAR/PARCC","reading",178,13.5
"609855",2024,"ES","IAR/PARCC","reading",141,7.8
"609856",2024,"ES","IAR/PARCC","reading",363,26.4
"609857",2024,"ES","IAR/PARCC","reading",249,26.5
"609859",2024,"ES","IAR/PARCC","reading",676,26.2
"609861",2024,"ES","IAR/PARCC","reading",245,25.3
"609862",2024,"ES","IAR/PARCC","reading",150,15.3
"609863",2024,"ES","IAR/PARCC","reading",186,25.3
"609864",2024,"ES","IAR/PARCC","reading",178,16.9
"609865",2024,"ES","IAR/PARCC","reading",281,9.6
"609866",2024,"ES","IAR/PARCC","reading",531,70.6
"609867",2024,"ES","IAR/PARCC","reading",301,15.6
"609869",2024,"ES","IAR/PARCC","reading",116,12.9
"609870",2024,"ES","IAR/PARCC","reading",263,8.7
"609872",2024,"ES","IAR/PARCC","reading",193,18.7
"609873",2024,"ES","IAR/PARCC","reading",84,8.3
"609874",2024,"ES","IAR/PARCC","reading",691,34.6
"609875",2024,"ES","IAR/PARCC","reading",273,34.8
"609876",2024,"ES","IAR/PARCC","reading",302,7.3
"609879",2024,"ES","IAR/PARCC","reading",575,23.1
"609880",2024,"ES","IAR/PARCC","reading",219,90.4
"609883",2024,"ES","IAR/PARCC","reading",285,30.2
"609884",2024,"ES","IAR/PARCC","reading",448,31.3
"609885",2024,"ES","IAR/PARCC","reading",149,26.2
"609887",2024,"ES","IAR/PARCC","reading",358,41.9
"609891",2024,"ES","IAR/PARCC","reading",138,7.2
"609893",2024,"ES","IAR/PARCC","reading",421,34.2
"609894",2024,"ES","IAR/PARCC","reading",191,18.3
"609895",2024,"ES","IAR/PARCC","reading",120,30.8
"609896",2024,"ES","IAR/PARCC","reading",162,43.2
"609897",2024,"ES","IAR/PARCC","reading",160,10.6
"609898",2024,"ES","IAR/PARCC","reading",680,13.7
"609899",2024,"ES","IAR/PARCC","reading",468,61.8
"609900",2024,"ES","IAR/PARCC","reading",223,2.7
"609901",2024,"ES","IAR/PARCC","reading",281,62.6
"609902",2024,"ES","IAR/PARCC","reading",197,12.7
"609903",2024,"ES","IAR/PARCC","reading",748,20.2
"609904",2024,"ES","IAR/PARCC","reading",275,10.2
"609907",2024,"ES","IAR/PARCC","reading",190,28.4
"609908",2024,"ES","IAR/PARCC","reading",153,22.9
"609909",2024,"ES","IAR/PARCC","reading",32,65.6
"609910",2024,"ES","IAR/PARCC","reading",484,25.6
"609912",2024,"ES","IAR/PARCC","reading",283,30.4
"609917",2024,"ES","IAR/PARCC","reading",166,33.7
"609918",2024,"ES","IAR/PARCC","reading",140,12.1
"609919",2024,"ES","IAR/PARCC","reading",214,15.4
"609920",2024,"ES","IAR/PARCC","reading",266,12
"609921",2024,"ES","IAR/PARCC","reading",147,18.4
"609922",2024,"ES","IAR/PARCC","reading",238,14.7
"609924",2024,"ES","IAR/PARCC","reading",181,18.2
"609925",2024,"ES","IAR/PARCC","reading",117,10.3
"609926",2024,"ES","IAR/PARCC","reading",266,54.5
