StateAssignedSchID,Subject,GradeLevel,StudentSubGroup_TotalTested,ProficientOrAbove_percent
010010010260001,ela,G07,41,.147
010010010260001,ela,G08,37,.27
010010010260001,math,G07,41,.097
010010010260001,math,G08,37,.243
010010010262002,ela,G03,29,0
010010010262002,ela,G04,28,.428
010010010262002,ela,G05,27,.63
010010010262002,ela,G06,32,.375
010010010262002,math,G03,29,.069
010010010262002,math,G04,28,.322
010010010262002,math,G05,27,.37
010010010262002,math,G06,32,.156
010010020260001,ela,G07,38,.605
010010020260001,ela,G08,37,.567
010010020260001,math,G07,38,.5
010010020260001,math,G08,36,.167
010010020262002,ela,G03,39,.385
010010020262002,ela,G04,57,.333
010010020262002,ela,G05,45,.4
010010020262002,ela,G06,43,.605
010010020262002,math,G03,39,.308
010010020262002,math,G04,57,.316
010010020262002,math,G05,45,.333
010010020262002,math,G06,43,.233
010010030261001,ela,G05,40,.4
010010030261001,ela,G06,54,.5
010010030261001,ela,G07,58,.345
010010030261001,ela,G08,59,.508
010010030261001,math,G05,40,.2
010010030261001,math,G06,54,.241
010010030261001,math,G07,58,.276
010010030261001,math,G08,59,.22
010010030262008,ela,G03,56,.268
010010030262008,ela,G04,59,.39
010010030262008,math,G03,56,.358
010010030262008,math,G04,59,.237
010010040262006,ela,G03,49,.347
010010040262006,ela,G04,52,.173
010010040262006,math,G03,49,.388
010010040262006,math,G04,52,.173
010010040262007,ela,G05,54,.463
010010040262007,ela,G06,40,.65
010010040262007,ela,G07,52,.596
010010040262007,ela,G08,47,.745
010010040262007,math,G05,54,.667
010010040262007,math,G06,40,.225
010010040262007,math,G07,52,.173
010010040262007,math,G08,47,.17
010011720221003,ela,G06,401,.319
010011720221003,ela,G07,417,.206
010011720221003,ela,G08,403,.245
010011720221003,math,G06,398,.194
010011720221003,math,G07,412,.167
010011720221003,math,G08,404,.158
010011720222004,ela,G03,84,.202
010011720222004,ela,G04,91,.286
010011720222004,ela,G05,90,.366
010011720222004,math,G03,83,.181
010011720222004,math,G04,91,.22
010011720222004,math,G05,89,.247
010011720222006,ela,G03,76,.302
010011720222006,ela,G04,99,.334
010011720222006,ela,G05,67,.358
010011720222006,math,G03,76,.21
010011720222006,math,G04,99,.222
010011720222006,math,G05,66,.242
010011720222009,ela,G03,86,.209
010011720222009,ela,G04,96,.271
010011720222009,ela,G05,86,.221
010011720222009,math,G03,86,.279
010011720222009,math,G04,96,.219
010011720222009,math,G05,86,.221
010011720222016,ela,G03,90,.267
010011720222016,ela,G04,100,.39
010011720222016,ela,G05,101,.584
010011720222016,math,G03,90,.267
010011720222016,math,G04,100,.3
010011720222016,math,G05,101,.307
010011720222017,ela,G03,92,.174
010011720222017,ela,G04,68,.264
010011720222017,ela,G05,83,.361
010011720222017,math,G03,92,.12
010011720222017,math,G04,68,.235
010011720222017,math,G05,83,.241
010050010261002,ela,G05,40,.125
010050010261002,ela,G06,52,.48
010050010261002,ela,G07,41,.195
010050010261002,ela,G08,48,.208
010050010261002,math,G05,40,.3
010050010261002,math,G06,52,.346
010050010261002,math,G07,41,.293
010050010261002,math,G08,48,.188
010050010262002,ela,G03,32,.313
010050010262002,ela,G04,42,.5
010050010262002,math,G03,32,.313
010050010262002,math,G04,42,.214
010090150260007,ela,G05,100,.065
010090150260007,ela,G06,97,.106
010090150260007,ela,G07,95,.154
010090150260007,ela,G08,98,.193
010090150260007,math,G05,100,.022
010090150260007,math,G06,97,.011
010090150260007,math,G07,95,.033
010090150260007,math,G08,98,.068
010090150262003,ela,G03,103,.032
010090150262003,ela,G04,66,.136
010090150262003,math,G03,103,.053
010090150262003,math,G04,66,.068
010090640260003,ela,G06,23,.608
010090640260003,ela,G07,25,.72
010090640260003,ela,G08,19,.684
010090640260003,math,G06,23,.26
010090640260003,math,G07,25,.52
010090640260003,math,G08,19,.316
010090640262001,ela,G03,21,.333
010090640262001,ela,G04,38,.421
010090640262001,ela,G05,22,.5
010090640262001,math,G03,21,.572
010090640262001,math,G04,38,.289
010090640262001,math,G05,22,.409
010092620261002,ela,G05,23,.609
010092620261002,ela,G06,25,.24
010092620261002,ela,G07,23,.13
010092620261002,ela,G08,22,.227
010092620261002,math,G05,23,.391
010092620261002,math,G06,25,.04
010092620261002,math,G07,23,0
010092620261002,math,G08,22,.136
010092620262001,ela,G03,26,.154
010092620262001,ela,G04,26,.5
010092620262001,math,G03,26,.192
010092620262001,math,G04,26,.269
010690010260001,ela,G06,13,.308
010690010260001,ela,G07,16,.063
010690010260001,ela,G08,18,.333
010690010260001,math,G06,13,.462
010690010260001,math,G07,16,.188
010690010260001,math,G08,18,.111
010690010262006,ela,G03,19,.474
010690010262006,ela,G04,11,.364
010690010262006,ela,G05,30,.6
010690010262006,math,G03,19,.474
010690010262006,math,G04,11,.273
010690010262006,math,G05,30,.3
010690060260001,ela,G07,20,.2
010690060260001,ela,G08,18,.389
010690060260001,math,G07,20,.15
010690060260001,math,G08,18,.167
010690060262002,ela,G03,23,.174
010690060262002,ela,G04,24,.167
010690060262002,ela,G05,34,.118
010690060262002,ela,G06,35,.171
010690060262002,math,G03,23,0
010690060262002,math,G04,24,.083
010690060262002,math,G05,34,.088
010690060262002,math,G06,35,.143
010690110261001,ela,G06,19,0
010690110261001,ela,G07,13,.231
010690110261001,ela,G08,16,.188
010690110261001,math,G06,19,0
010690110261001,math,G07,13,0
010690110261001,math,G08,17,0
010690110262003,ela,G03,13,.077
010690110262003,ela,G04,14,.214
010690110262003,ela,G05,16,.125
010690110262003,math,G03,13,.077
010690110262003,math,G04,14,.071
010690110262003,math,G05,16,.125
010690270260001,ela,G07,33,.303
010690270260001,ela,G08,28,.321
010690270260001,math,G07,33,.242
010690270260001,math,G08,28,.214
010690270262002,ela,G03,21,.667
010690270262002,ela,G04,15,.734
010690270262002,ela,G05,36,.528
010690270262002,ela,G06,29,.69
010690270262002,math,G03,21,.428
010690270262002,math,G04,15,.8
010690270262002,math,G05,36,.527
010690270262002,math,G06,29,.62
010691170221013,ela,G06,218,.441
010691170221013,ela,G07,223,.287
010691170221013,ela,G08,197,.326
010691170221013,math,G06,217,.138
010691170221013,math,G07,222,.189
010691170221013,math,G08,196,.205
010691170222001,ela,G03,56,.339
010691170222001,ela,G04,63,.333
010691170222001,ela,G05,50,.42
