"school_id","year","name","enrollment","low_income","income_label"
"610229",2015,"A.N. Pritzker School",725.0,386.0,"Economically Disadvantaged"
"610038",2015,"Abraham Lincoln Elementary School",824.0,119.0,"Economically Disadvantaged"
"400009",2015,"Academy for Global Citizenship Elementary School",391.0,306.0,"Economically Disadvantaged"
"610281",2015,"Adam Clayton Powell Paideia Community Academy ES",575.0,552.0,"Economically Disadvantaged"
"610185",2015,"Adlai E Stevenson Elementary School",1275.0,1208.0,"Economically Disadvantaged"
"609993",2015,"Agustin Lara Elementary Academy",498.0,491.0,"Economically Disadvantaged"
"610513",2015,"Air Force Academy High School",373.0,327.0,"Economically Disadvantaged"
"610334",2015,"Al Raby High School",488.0,479.0,"Economically Disadvantaged"
"400011",2015,"Alain Locke Charter Elementary Academy",581.0,545.0,"Economically Disadvantaged"
"610212",2015,"Albany Park Multicultural Academy",269.0,262.0,"Economically Disadvantaged"
"609720",2015,"Albert G Lane Technical High School",4071.0,2384.0,"Economically Disadvantaged"
"610342",2015,"Albert R Sabin Elementary Magnet School",604.0,546.0,"Economically Disadvantaged"
"610524",2015,"Alcott High School for the Humanities",274.0,219.0,"Economically Disadvantaged"
"610209",2015,"Alessandro Volta Elementary School",1004.0,959.0,"Economically Disadvantaged"
"609808",2015,"Alex Haley Elementary Academy",617.0,600.0,"Economically Disadvantaged"
"609799",2015,"Alexander Graham Bell Elementary School",1028.0,197.0,"Economically Disadvantaged"
"609947",2015,"Alexander Graham Elementary School",486.0,460.0,"Economically Disadvantaged"
"609963",2015,"Alexander Hamilton Elementary School",419.0,120.0,"Economically Disadvantaged"
"610098",2015,"Alfred Nobel Elementary School",852.0,817.0,"Economically Disadvantaged"
"609788",2015,"Alice L Barnard Computer Math & Science Ctr ES",307.0,256.0,"Economically Disadvantaged"
"400012",2015,"Amandla Charter High School",325.0,314.0,"Economically Disadvantaged"
"610131",2015,"Ambrose Plamondon Elementary School",145.0,145.0,"Economically Disadvantaged"
"610316",2015,"Amelia Earhart Options for Knowledge ES",247.0,186.0,"Economically Disadvantaged"
"610339",2015,"Amos Alonzo Stagg Elementary School",558.0,547.0,"Economically Disadvantaged"
"609837",2015,"Andrew Carnegie Elementary School",609.0,530.0,"Economically Disadvantaged"
"610060",2015,"Andrew Jackson Elementary Language Academy",566.0,242.0,"Economically Disadvantaged"
"609869",2015,"Anna R. Langford Community Academy",409.0,408.0,"Economically Disadvantaged"
"610084",2015,"Annie Keller Elementary Gifted Magnet School",245.0,52.0,"Economically Disadvantaged"
"400010",2015,"Architecture, Construction, and Engineering(ACE)Technical Charter School",448.0,438.0,"Economically Disadvantaged"
"609951",2015,"Ariel Elementary Community Academy",550.0,455.0,"Economically Disadvantaged"
"610171",2015,"Arnold Mireles Elementary Academy",708.0,697.0,"Economically Disadvantaged"
"610037",2015,"Arthur A Libby Elementary School",495.0,491.0,"Economically Disadvantaged"
"609887",2015,"Arthur Dixon Elementary School",644.0,579.0,"Economically Disadvantaged"
"609836",2015,"Arthur E Canty Elementary School",799.0,448.0,"Economically Disadvantaged"
"610268",2015,"Arthur R Ashe Elementary School",362.0,358.0,"Economically Disadvantaged"
"609941",2015,"Asa Philip Randolph Elementary School",501.0,492.0,"Economically Disadvantaged"
"610287",2015,"Ashburn Community Elementary School",456.0,407.0,"Economically Disadvantaged"
"400060",2015,"Asian Human Services - Passages Charter School",456.0,349.0,"Economically Disadvantaged"
"400013",2015,"ASPIRA Charter - Early College",508.0,482.0,"Economically Disadvantaged"
"400017",2015,"ASPIRA Charter - Haugan Campus",578.0,568.0,"Economically Disadvantaged"
"400015",2015,"ASPIRA Charter - Mirta Ramirez Computer Science",77.0,77.0,"Economically Disadvantaged"
"609820",2015,"Augustus H Burley Elementary School",518.0,111.0,"Economically Disadvantaged"
"400018",2015,"Austin Business and Entrepreneurship Academy HS",150.0,148.0,"Economically Disadvantaged"
"610501",2015,"Austin Polytechnical Academy High School",165.0,159.0,"Economically Disadvantaged"
"609786",2015,"Avalon Park Elementary School",352.0,339.0,"Economically Disadvantaged"
